[  482]  Di 2016-02-09 12:45:50.750   lat: 52.72034°  lon: 2.14843°  alt: 7728.47m  vH: 24.9m/s  D: 31.2°  vV: -15.1m/s    P=344.74hPa  T=-49.95°C  H1=3.00%  H2=2.31%    (132055654)  Check: 00000
[  483]  Di 2016-02-09 12:45:51.250   lat: 52.72043°  lon: 2.14853°  alt: 7720.97m  vH: 24.7m/s  D: 31.8°  vV: -14.9m/s    P=345.17hPa  T=-49.98°C  H1=3.45%  H2=2.70%    (132055654)  Check: 00000
[  484]  Di 2016-02-09 12:45:51.750   lat: 52.72053°  lon: 2.14862°  alt: 7713.54m  vH: 24.9m/s  D: 31.3°  vV: -14.8m/s    P=345.54hPa  T=-50.03°C  H1=3.91%  H2=3.14%    (132055654)  Check: 00000
[  485]  Di 2016-02-09 12:45:52.250   lat: 52.72062°  lon: 2.14872°  alt: 7706.10m  vH: 24.5m/s  D: 30.2°  vV: -14.7m/s    P=345.90hPa  T=-50.06°C  H1=4.44%  H2=3.59%    (132055654)  Check: 00000
[  486]  Di 2016-02-09 12:45:52.750   lat: 52.72072°  lon: 2.14881°  alt: 7698.70m  vH: 24.5m/s  D: 29.8°  vV: -15.0m/s    P=346.32hPa  T=-50.10°C  H1=5.00%  H2=4.06%    (132055654)  Check: 00000
[  487]  Di 2016-02-09 12:45:53.250   lat: 52.72081°  lon: 2.14890°  alt: 7691.32m  vH: 24.0m/s  D: 29.7°  vV: -14.8m/s    P=346.69hPa  T=-50.12°C  H1=5.53%  H2=4.58%    (132055654)  Check: 00000
[  488]  Di 2016-02-09 12:45:53.750   lat: 52.72090°  lon: 2.14898°  alt: 7683.94m  vH: 24.0m/s  D: 29.2°  vV: -14.8m/s    P=347.08hPa  T=-50.12°C  H1=6.18%  H2=5.14%    (132055654)  Check: 00000
[  489]  Di 2016-02-09 12:45:54.250   lat: 52.72100°  lon: 2.14907°  alt: 7676.55m  vH: 24.1m/s  D: 28.6°  vV: -15.0m/s    P=347.52hPa  T=-50.15°C  H1=6.92%  H2=5.79%    (132055654)  Check: 00000
[  490]  Di 2016-02-09 12:45:54.750   lat: 52.72109°  lon: 2.14916°  alt: 7669.09m  vH: 23.8m/s  D: 27.9°  vV: -15.0m/s    P=347.91hPa  T=-50.16°C  H1=7.64%  H2=6.45%    (132055654)  Check: 00000
[  491]  Di 2016-02-09 12:45:55.250   lat: 52.72119°  lon: 2.14924°  alt: 7661.70m  vH: 23.2m/s  D: 28.3°  vV: -14.8m/s    P=348.27hPa  T=-50.17°C  H1=8.40%  H2=7.17%    (132055654)  Check: 00000
